 ID-EVENTO;TITULO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;FECHA;FECHA-FIN;HORA;CONTENT-URL;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;TIPO
000012274360;25 años de viajes y canciones;1;0;;2024-02-23 00:00:00.0;2024-02-23 23:59:00.0;19:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1c7d1c0c69f5d810VgnVCM2000001f4a900aRCRD;Centro Sociocultural Rosario de Acuña (Latina);1;CALLE;MARIA DEL CARMEN;65;LATINA;PUERTA DEL ANGEL;28011;437830;4473132;/contenido/actividades/Musica
000012276278;4ª Exposición participativa de los socios de AEDA;1;1;L,M,X,J,V,S,D;2024-02-02 00:00:00.0;2024-02-28 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=058b5f764446d810VgnVCM1000001d4a900aRCRD;Centro Cultural Dotacional Integrado Arganzuela;1;CALLE;CANARIAS;17;ARGANZUELA;PALOS DE LA FRONTERA;28045;440986;4472656;/contenido/actividades/Exposiciones
000012265599;À deux roues, la vie!;0;0;;2024-03-15 00:00:00.0;2024-03-15 23:59:00.0;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3c08240ad5b3d810VgnVCM1000001d4a900aRCRD;Teatro Circo Price;1;RONDA;ATOCHA;35;ARGANZUELA;PALOS DE LA FRONTERA;28012;440722;4473051;/contenido/actividades/ProgramacionDestacadaAgendaCultura
000012266432;A Fish in the Bathtub;0;0;;2024-02-14 00:00:00.0;2024-02-14 23:59:00.0;20:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb5293d324d3d810VgnVCM1000001d4a900aRCRD;Cineteca Madrid;1;PLAZA;LEGAZPI;8;ARGANZUELA;CHOPERA;28045;440946;4471422;/contenido/actividades/ProgramacionDestacadaAgendaCultura
000012271614;A todo tren 2: Sí, les ha pasado otra vez;1;0;;2024-02-23 00:00:00.0;2024-02-23 23:59:00.0;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7306a9bdbd95d810VgnVCM2000001f4a900aRCRD;Junta Municipal del Distrito de Usera;1;AVENIDA;RAFAELA YBARRA;41;USERA;PRADOLONGO;28026;439670;4470445;/contenido/actividades/CineActividadesAudiovisuales
000012233751;Abracadabra: magos de la lectura;0;0;;2024-03-09 00:00:00.0;2024-03-09 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4435731c2aac810VgnVCM2000001f4a900aRCRD;Casa del Lector;3;PASEO;CHOPERA;14;ARGANZUELA;CHOPERA;28045;440828;4471551;
000012233716;Abracadabra: magos de la lectura;0;0;;2024-02-17 00:00:00.0;2024-02-17 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=58f05731c2aac810VgnVCM2000001f4a900aRCRD;Casa del Lector;3;PASEO;CHOPERA;14;ARGANZUELA;CHOPERA;28045;440828;4471551;
000012263377;Abuso sexual infantil y en adolescentes;1;0;;2024-02-15 00:00:00.0;2024-02-15 23:59:00.0;18:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7bd0baf15a13d810VgnVCM2000001f4a900aRCRD;Biblioteca Pública Municipal José Hierro (San Blas-Canillejas);1,6;CALLE;MARIA SEVILLA DIAGO;15;SAN BLAS-CANILLEJAS;ROSAS;28022;448214;4476029;/contenido/actividades/CursosTalleres
000012260694;Acamedyresine;1;1;L,M,X,J,V,S,D;2024-02-01 00:00:00.0;2024-02-29 23:59:00.0;;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3c62ebfbdeb1d810VgnVCM2000001f4a900aRCRD;Centro Cultural Antonio Machado (San Blas - Canillejas);1;CALLE;SAN ROMAN DEL VALLE;8;SAN BLAS-CANILLEJAS;ARCOS;28037;447255;4474591;/contenido/actividades/Exposiciones
000012266656;Achis!!!;1;0;;2024-03-22 00:00:00.0;2024-03-22 23:59:00.0;18:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=15fadc4cdff3d810VgnVCM1000001d4a900aRCRD;Centro Cultural Zazuar (Villa de Vallecas);1,6;CALLE;ZAZUAR;4;VILLA DE VALLECAS;SANTA EUGENIA;28031;448550;4470424;/contenido/actividades/CuentacuentosTiteresMarionetas
